,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
377,Mutoko,56,ZW,1554611974,84,-17.4,32.23,67.65,4.05
378,Ternate,20,PH,1554611504,52,14.29,120.72,93.99,9.17
379,Fortuna,20,ES,1554611626,61,38.18,-1.13,52.0,5.82
380,Kanniyakumari,0,IN,1554611974,99,8.08,77.57,85.92,10.2
381,Parangan,32,PH,1554611974,100,5.08,119.94,83.22,7.63
382,Nacala,76,MZ,1554611975,96,-14.56,40.69,82.05,10.87
383,Ampanihy,0,MG,1554611975,58,-24.69,44.75,81.87,7.18
384,Klaksvik,68,FO,1554610800,97,62.23,-6.59,41.0,10.29
385,Machinga,24,MW,1554611975,74,-15.18,35.3,76.2,7.4
386,Komsomolskiy,80,RU,1554611976,92,67.55,63.78,27.24,17.92
387,Chara,40,GR,1554611613,93,39.42,22.43,54.0,1.36
388,Waingapu,56,ID,1554611976,77,-9.65,120.26,81.87,14.12
389,Zambezi,20,ZM,1554611977,74,-13.55,23.12,73.05,9.98
390,Taytay,24,PH,1554611977,78,10.83,119.52,86.19,10.65
391,Lipin Bor,36,RU,1554611977,89,60.26,37.97,35.52,6.85
392,Burns Lake,64,CA,1554611977,56,54.23,-125.76,36.87,5.73
393,Nauta,92,PE,1554611978,98,-4.51,-73.58,73.59,3.38
394,Kedrovyy,0,RU,1554607800,35,56.17,91.82,42.8,15.66
395,Kandi,36,BJ,1554611978,79,11.13,2.93,77.37,10.65
396,Lagos,20,NG,1554609600,89,6.46,3.39,84.2,2.24
397,Shilong,20,CN,1554611970,83,23.11,113.84,86.0,11.18
398,Lahaina,20,US,1554611967,65,20.87,-156.68,80.6,5.82
399,Sri Aman,75,MY,1554606000,70,1.24,111.46,87.8,2.24
400,Plyussa,8,RU,1554611980,63,58.42,29.37,43.26,5.95
401,Shirokiy,12,RU,1554611712,92,53.87,39.17,36.0,1.01
402,Hrodna,0,BY,1554606000,56,53.68,23.83,41.0,2.24
403,Skelleftea,68,SE,1554611836,100,64.75,20.95,30.0,4.7
404,Churhat,0,IN,1554611981,36,24.43,81.67,97.71,3.6
405,Kolga,0,EE,1554611827,64,59.49,25.62,37.99,4.7
406,Provideniya,0,RU,1554611981,100,64.42,-173.23,18.24,13.0
407,Tahe,88,CN,1554611982,54,52.34,124.71,38.31,6.29
408,Nha Trang,20,VN,1554607800,59,12.24,109.19,89.6,8.05
409,Mehamn,88,NO,1554611982,88,71.03,27.85,30.75,8.97
410,Adwa,0,ET,1554611983,56,14.16,38.9,72.24,3.15
411,Qiongshan,40,CN,1554609600,66,20.01,110.35,87.8,6.71
412,Lorengau,44,PG,1554611984,100,-2.02,147.27,84.21,7.07
413,Sistranda,40,NO,1554611981,65,63.73,8.83,41.0,14.99
414,Mehran,90,IR,1554609600,87,33.12,46.17,55.4,2.24
415,Manuk Mangkaw,32,PH,1554611985,100,4.8,119.85,83.22,7.63
416,Kefamenanu,12,ID,1554611986,70,-9.45,124.48,81.42,2.37
417,Mumford,8,GH,1554611986,92,5.26,-0.76,78.99,8.75
418,Narasannapeta,0,IN,1554611986,44,18.42,84.04,96.36,12.21
419,Luderitz,8,NA,1554611987,91,-26.65,15.16,56.31,9.98
420,Aden,0,YE,1554611825,96,12.79,45.03,80.97,10.76
421,Port Lincoln,8,AU,1554611987,81,-34.72,135.86,68.01,21.05
422,Kysyl-Syr,0,RU,1554611779,50,63.9,122.77,34.53,6.4
423,Acapulco,5,MX,1554608760,88,16.86,-99.88,77.0,8.05
424,Vuktyl,0,RU,1554611988,70,63.86,57.31,36.42,5.17
425,Digby,0,CA,1554611885,98,44.62,-65.76,37.0,7.0
426,Alofi,24,NU,1554609600,79,-19.06,-169.92,84.2,6.93
427,Solnechnyy,56,RU,1554611988,77,50.72,136.64,37.32,8.19
428,Mecca,0,SA,1554611989,34,21.43,39.83,86.55,3.49
429,Nelson Bay,0,AU,1554611478,35,-32.72,152.14,90.0,8.05
430,Leningradskiy,0,RU,1554611764,67,69.38,178.42,2.4,7.63
431,Talara,8,PE,1554611822,88,-4.58,-81.27,69.36,2.71
432,The Valley,40,AI,1554611430,69,18.22,-63.06,77.0,16.11
433,Copiapo,0,CL,1554606000,82,-27.37,-70.33,60.8,2.24
434,Palmer,40,AU,1554611970,60,-34.85,139.16,73.0,12.75
435,San Policarpo,0,PH,1554611991,82,12.18,125.51,84.12,11.21
436,Fulton,1,US,1554611917,86,43.32,-76.42,43.0,3.04
437,Nouakchott,0,MR,1554609600,63,18.08,-15.98,66.2,10.29
438,Bonnyville,90,CA,1554609600,100,54.27,-110.74,32.0,8.05
439,San Juan del Cesar,75,CO,1554609600,51,10.77,-73.01,84.2,14.99
440,Voloshka,0,RU,1554611992,87,61.33,40.09,32.64,3.49
441,Camabatela,92,AO,1554611992,99,-8.19,15.37,68.64,3.94
442,Lufilufi,40,WS,1554609752,66,-13.87,-171.6,91.4,11.41
443,Bela,0,PK,1554611993,14,26.23,66.31,96.54,4.83
444,Kamen-Rybolov,76,RU,1554611993,60,44.75,132.04,42.27,6.51
445,Denpasar,40,ID,1554607800,83,-8.65,115.22,84.2,6.93
446,Ahipara,64,NZ,1554611993,86,-35.17,173.16,61.26,10.65
447,Chippewa Falls,40,US,1554611983,87,44.94,-91.39,48.99,8.05
448,Urengoy,80,RU,1554611994,97,65.96,78.37,28.68,21.05
449,Derzhavinsk,0,KZ,1554611995,83,51.1,66.31,48.57,10.98
450,Quesnel,75,CA,1554609600,37,52.98,-122.49,50.0,13.87
451,Irun,40,FR,1554611906,87,43.34,-1.79,48.99,6.93
452,Lazaro Cardenas,5,MX,1554608400,27,28.39,-105.62,62.6,9.17
453,Karla,0,EE,1554611827,64,59.37,24.93,37.99,4.7
454,Verkhnyaya Toyma,0,RU,1554611996,84,62.24,45.0,38.85,3.6
455,Bandarbeyla,0,SO,1554611996,100,9.49,50.81,80.97,2.37
456,El Alto,40,BO,1554606000,93,-16.5,-68.19,42.8,10.29
457,Puerto Madryn,0,AR,1554611892,70,-42.77,-65.04,63.78,5.17
458,Timbuktu,0,ML,1554611997,24,16.77,-3.01,71.16,10.65
459,Zhigansk,0,RU,1554611755,56,66.77,123.37,34.08,6.4
460,Arica,0,CL,1554606000,77,-18.48,-70.32,69.8,2.15
461,Hanstholm,20,DK,1554611416,90,57.12,8.61,42.01,3.0
462,Drinovci,75,HR,1554611788,87,43.85,16.01,53.6,5.82
463,Kondinskoye,0,RU,1554611998,77,59.65,67.41,41.55,4.38
464,Hamilton,75,CA,1554611761,87,43.26,-79.87,48.0,6.93
465,Caibarien,40,CU,1554609300,78,22.52,-79.47,75.2,4.7
466,Hambantota,0,LK,1554606600,79,6.12,81.12,86.0,4.7
467,West Bay,48,GB,1554611975,87,50.71,-2.76,46.99,12.75
468,Paraiso,0,MX,1554612000,40,24.01,-104.61,45.87,6.17
469,Lucapa,80,AO,1554612000,98,-8.42,20.74,68.1,4.16
470,Jianhu,0,CN,1554611578,35,29.93,120.57,90.0,6.71
471,Kargil,8,PK,1554612001,96,34.56,76.13,23.64,1.81
472,Ocean City,90,US,1554611778,100,30.44,-86.61,70.0,5.82
473,Nadym,8,RU,1554612001,89,65.53,72.51,28.41,17.69
474,Aleksandrov Gay,92,RU,1554612001,100,50.14,48.57,47.22,10.87
475,Saint-Augustin,20,FR,1554611738,100,44.83,-0.61,39.99,2.24
476,Sao Jose da Coroa Grande,80,BR,1554612002,97,-8.9,-35.15,75.93,3.15
477,Oranjemund,88,ZA,1554611822,95,-28.55,16.43,59.91,2.93
478,Faya,0,SA,1554609600,55,18.39,42.45,64.4,11.41
479,Clonakilty,40,IE,1554609600,80,51.62,-8.87,39.2,9.17
480,Erzin,75,TR,1554611864,72,36.95,36.2,60.8,1.12
481,Ossora,24,RU,1554612003,96,59.24,163.07,29.13,1.81
482,Sorland,8,NO,1554612003,100,67.67,12.69,37.5,25.3
483,Hanzhong,0,CN,1554612003,26,33.08,107.03,84.12,3.38
484,Vitim,0,RU,1554612004,52,59.44,112.57,35.07,3.71
485,Luganville,88,VU,1554612004,100,-15.51,167.18,79.89,11.1
486,Sokoni,12,CD,1554612004,81,-12.89,28.78,68.55,7.4
487,Broken Hill,0,AU,1554606000,22,-31.97,141.45,86.0,18.34
488,Shelburne,75,CA,1554612004,93,44.08,-80.2,46.4,2.26
489,Kumasi,12,GH,1554611794,94,6.7,-1.62,75.21,7.29
490,Lata,12,IN,1554612005,77,30.78,78.62,58.56,1.59
491,Fernie,40,CA,1554609600,69,49.5,-115.06,39.2,12.75
492,Timra,76,SE,1554612001,97,62.49,17.33,37.0,2.24
493,Victoria,75,BN,1554607800,79,5.28,115.24,89.6,1.12
494,Awjilah,0,LY,1554612006,72,29.14,21.3,60.99,6.17
495,Ketchikan,90,US,1554610740,93,55.34,-131.65,48.2,5.82
496,Skowhegan,1,US,1554611984,74,44.77,-69.72,37.99,6.93
497,Miyazu,75,JP,1554609600,45,35.58,135.2,64.4,5.82
498,Seoul,1,KR,1554610800,25,37.57,126.98,64.4,2.24
499,Dinghai,40,CN,1554609600,94,26.28,119.79,68.0,2.24
500,Novozybkov,0,RU,1554607800,65,52.54,31.93,37.4,13.42
501,Yuanping,0,CN,1554612007,37,38.72,112.71,62.43,3.83
502,Balod,0,IN,1554612008,27,20.73,81.21,99.87,10.2
503,Naryan-Mar,32,RU,1554611839,87,67.67,53.09,28.05,12.33
504,Henties Bay,88,NA,1554609727,91,-22.12,14.28,59.0,3.0
505,Rosetta,0,EG,1554609600,82,31.4,30.42,57.2,2.24
506,Sangin,0,AF,1554612009,100,32.07,64.85,68.19,2.71
507,Reconquista,0,AR,1554612009,92,-29.14,-59.64,59.91,2.93
508,Camargo,64,MX,1554612009,51,27.69,-105.17,55.41,2.15
509,Port Moresby,40,PG,1554609600,66,-9.47,147.16,86.0,6.93
510,Oloron-Sainte-Marie,92,FR,1554612006,93,43.19,-0.61,55.0,5.82
511,Grand Gaube,75,MU,1554611940,61,-20.01,57.66,82.4,11.41
512,Dunedin,0,NZ,1554611607,70,-45.87,170.5,57.99,18.01
513,Rome,0,IT,1554611729,71,41.89,12.48,53.01,6.93
514,Ocara,92,BR,1554612011,100,-4.49,-38.6,72.78,4.83
515,Senneterre,90,CA,1554609600,77,48.39,-77.24,32.0,3.36
516,Asosa,0,ET,1554612011,22,10.07,34.53,82.59,3.94
517,Puerto Escondido,5,MX,1554608460,74,15.86,-97.07,78.8,10.29
518,Varna,92,BG,1554611400,87,43.22,27.9,44.6,2.71
519,Tateyama,75,JP,1554611999,42,36.66,137.31,64.99,11.41
520,Tadine,12,NC,1554612012,96,-21.55,167.88,77.64,11.43
521,Kilifi,0,KE,1554612012,68,-3.63,39.85,84.48,4.5
522,Kahului,40,US,1554611967,57,20.89,-156.47,80.6,8.05
523,Bubaque,20,GW,1554612013,97,11.28,-15.83,79.62,1.36
524,Black River,20,JM,1554609600,78,18.03,-77.85,77.0,3.36
525,Nerchinskiy Zavod,76,RU,1554612013,55,51.31,119.61,33.27,6.96
526,Bouna,24,CI,1554612014,82,9.27,-3.0,77.64,10.76
527,Mareeba,90,AU,1554611778,69,-16.99,145.42,82.4,17.22
528,Tabas,80,IR,1554609600,35,33.6,56.92,71.6,2.24
529,Port Hueneme,40,US,1554612012,87,34.15,-119.2,60.8,10.2
530,Waddan,0,LY,1554612015,72,29.16,16.14,55.41,3.83
531,Mayo,90,CA,1554609600,50,63.59,-135.9,33.8,9.17
532,Goderich,44,CA,1554611908,83,43.74,-81.71,48.0,5.01
533,Khasan,24,RU,1554612016,51,42.43,130.64,49.29,9.31
534,Grindavik,0,IS,1554611817,80,63.84,-22.43,35.6,3.36
535,La Asuncion,92,EC,1554612016,98,-1.64,-78.74,47.76,0.58
536,Aripuana,92,BR,1554612016,89,-9.17,-60.63,74.04,3.15
537,Zhoucheng,0,CN,1554609600,37,31.35,119.33,84.2,8.95
538,Chadiza,56,ZM,1554612017,59,-14.06,32.43,74.4,6.06
539,Ulety,36,RU,1554612017,30,51.36,112.48,36.42,5.17
540,Laguna,0,MX,1554611855,68,27.52,-110.01,60.54,1.7
541,Shenjiamen,0,CN,1554611815,82,29.96,122.3,66.03,3.83
542,Port-Gentil,64,GA,1554612018,95,-0.72,8.78,82.32,3.71
543,Gubkinskiy,68,RU,1554612018,93,64.43,76.5,29.04,17.58
544,Mbandaka,76,CD,1554612018,98,0.05,18.26,74.49,3.27
545,Ouegoa,92,NC,1554612019,87,-20.34,164.44,74.58,4.61
546,Tanete,44,ID,1554612019,64,-3.94,119.78,90.33,11.88
547,Brae,20,GB,1554609000,94,60.4,-1.35,44.6,19.46
548,Hervey Bay,0,AU,1554611721,42,-25.3,152.85,84.99,11.41
549,Svetlaya,8,RU,1554612020,78,46.54,138.33,37.77,8.19
550,Los Llanos de Aridane,48,ES,1554609600,77,28.66,-17.92,60.8,5.82
551,Sioux Lookout,5,CA,1554609600,51,50.1,-91.92,35.6,5.82
552,Carutapera,92,BR,1554612020,99,-1.2,-46.02,76.2,6.06
553,Poum,0,MK,1554612020,87,41.28,20.71,39.75,1.7
